semester,program,letnik,predmet,zacetek,trajanje,dan,vrsta,predavalnica,predavatelj,stevilo programov
Zimski semester 2017/18,Finančna matematika,1. letnik,Analiza 1,8,2,ponedeljek,V,2.02,['Blaž Jelenc'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Algebra 1,10,2,ponedeljek,V,P.02,['Aleš Vavpetič'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Algebra 1,10,2,ponedeljek,Ostale skupine,2.02,[],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Algebra 1,12,2,ponedeljek,P,2.01,['Primož Moravec'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,RP,14,3,ponedeljek,Ostale skupine,3.12,['Marcel Čampa'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,RP,14,3,ponedeljek,Ostale skupine,3.10,['Nina Štempelj'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,RP,14,3,ponedeljek,Ostale skupine,3.11,['Filip Koprivec'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Računalniški praktikum,8,1,torek,P,2.01,['Andrej Bauer'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Analiza 1,9,2,torek,P,2.01,['Sašo Strle'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Analiza 1,11,1,torek,Ostale skupine,2.05,['Marko Kandić'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Proseminar,12,2,torek,P,2.05,['David Dolžan'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Proseminar,14,2,torek,V,2.05,['Marko Kandić'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,KOLOKVIJI 1F,18,2,torek,P,2.01,[],1
Zimski semester 2017/18,Finančna matematika,1. letnik,KOLOKVIJI 1F,18,2,torek,P,2.05,[],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Analiza 1,8,2,sreda,V,2.04,['Blaž Jelenc'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Proseminar,8,2,sreda,Ostale skupine,2.03,['Marko Kandić'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Analiza 1,10,2,sreda,P,2.01,['Sašo Strle'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Analiza 1,12,3,sreda,Ostale skupine,2.01,['Marko Kandić'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Algebra 1,8,2,četrtek,P,2.01,['Primož Moravec'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Algebra 1,10,2,četrtek,V,3.04,['Aleš Vavpetič'],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Algebra 1,10,2,četrtek,Ostale skupine,2.02,[],1
Zimski semester 2017/18,Finančna matematika,1. letnik,Računalniški praktikum,14,3,četrtek,V,3.12,['Matjaž Zaveršnik'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Numerične metode 1,10,2,ponedeljek,P,2.01,['Bor Plestenjak'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Analiza 3,12,2,ponedeljek,V,3.04,['Oliver Dragičević'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,KOLOKVIJI 2F,16,2,ponedeljek,P,2.02,[],1
Zimski semester 2017/18,Finančna matematika,2. letnik,KOLOKVIJI 2F,16,2,ponedeljek,P,2.05,[],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Verjetnost 1,9,2,torek,P,P.02,['Roman Drnovšek'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Makroekonomija,11,4,torek,P,2.01,['Tjaša Redek'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Analiza 3,10,2,sreda,P,2.03,['Bojan Magajna'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Makroekonomija,12,2,sreda,V,3.05,['Tjaša Redek'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Analiza podatkov s programom R,8,2,četrtek,V,3.11,['Janoš Vidali'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Analiza 3,10,2,četrtek,P,2.01,['Bojan Magajna'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Analiza podatkov s programom R,12,2,četrtek,P,3.05,['Alen Orbanić'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Verjetnost 1,8,2,petek,V,P.02,['Gregor Šega'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Numerične metode 1,10,2,petek,V,3.11,['Matej Petković'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Numerične metode 1,10,2,petek,V,P.05,['Matej Petković'],1
Zimski semester 2017/18,Finančna matematika,2. letnik,Analiza 3,12,2,petek,V,2.03,['Oliver Dragičević'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Algebra 2,8,2,ponedeljek,V,3.05,['Klemen Šivic'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Programiranje 1,10,2,ponedeljek,Ostale skupine,3.10,['Žiga Lukšič'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,FP,14,2,ponedeljek,P,3.04,['Janez Bernik'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Temelji finančnega in poslovodnega računovodstva,16,3,ponedeljek,P,P.05,['Sergeja Slapničar'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Verjetnost z mero,10,2,torek,P,2.04,['Jaka Smrekar'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Verjetnost z mero,12,2,torek,V,3.07,['Matija Vidmar'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Teorija iger,14,3,torek,P,P.02,['Sergio Cabello'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Analiza 3,8,2,sreda,V,3.04,['Oliver Dragičević'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Splošna topologija,8,2,sreda,P,2.02,['Sašo Strle'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Diplomski seminar,10,2,sreda,P,P.05,['Tomaž Košir'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Programiranje 1,12,2,sreda,V,3.11,['Philipp Georg Haselwarter'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Diskretna matematika 1,12,2,sreda,V,3.04,['Barbara Ikica'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,FP,15,1,sreda,P,2.03,['Janez Bernik'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Diskretna matematika 1,15,2,sreda,Ostale skupine,2.04,['Leon Lampret'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Teorija iger,16,3,sreda,V,P.05,['Martin Raič'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Temelji finančnega in poslovodnega računovodstva,8,2,četrtek,V,P.05,['Sergeja Slapničar'],1
Zimski semester 2017/18,Finančna matematika,3. letnik,Programiranje 1,10,2,četrtek,P,P.05,['Matija Pretnar'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Podatkovne strukture in algoritmi 1,10,2,četrtek,P,2.04,['Sandi Klavžar'],2
Zimski semester 2017/18,Finančna matematika,3. letnik,MAT-DM1,12,2,četrtek,P,2.01,['Riste Škrekovski'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,STOP,12,2,četrtek,V,3.04,['Aleš Vavpetič'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,ANA3,12,3,četrtek,P,2.04,['Pavle Saksida'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Analiza 3,15,1,četrtek,V,3.04,['Oliver Dragičević'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,FP,7,3,petek,V,3.10,"['Nika Novak', 'Matjaž Zaveršnik']",1
Zimski semester 2017/18,Finančna matematika,3. letnik,Algebra 2,10,2,petek,P,2.02,['Matej Brešar'],3
Zimski semester 2017/18,Finančna matematika,3. letnik,Podatkovne strukture in algoritmi 1,13,2,petek,V,2.04,['Jure Slak'],2
Zimski semester 2017/18,Finančna matematika,3. letnik,KOLOKVIJI 3F,17,2,petek,P,2.05,[],1
Zimski semester 2017/18,Finančna matematika,magistrski študij,Teorija grup in polgrup,8,1,ponedeljek,P,P.01,['Tomaž Košir'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Bayesova statistika,8,3,ponedeljek,P,2.03,['Jaka Smrekar'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Verjetnost 2 / Verjetnost,11,2,ponedeljek,V,2.03,['Matija Vidmar'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,IPNM / NAI,12,2,ponedeljek,P,3.05,['Bor Plestenjak'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Kombinatorika / Kombinatorika 2,13,3,ponedeljek,P,2.03,['Matjaž Konvalinka'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,IPNM / NAI,14,1,ponedeljek,S,3.05,['Bor Plestenjak'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Algebraična topologija 2,16,2,ponedeljek,V,3.07,['Leon Lampret'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Analiza na mnogoterostih,8,2,torek,P,P.05,['Franc Forstnerič'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Analiza na mnogoterostih,10,1,torek,S,P.05,['Franc Forstnerič'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Verjetnost 2 / Verjetnost,11,3,torek,P,3.05,['Janez Bernik'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Delovna praksa (F),14,1,torek,P,3.06,[],1
Zimski semester 2017/18,Finančna matematika,magistrski študij,IPRM / VMR,14,3,torek,P,3.05,[],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Kombinatorika / Kombinatorika 2,17,2,torek,V,P.04,['Vesna Iršič'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Izbrana poglavja iz finančne matematike 1,8,2,sreda,V,3.05,['Tomaž Košir'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,FM2,10,3,sreda,P,3.07,['Mihael Perman'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Kompleksna analiza,13,2,sreda,V,2.04,['Jan Grošelj'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Teorija mere,15,1,sreda,P,2.02,['Marko Kandić'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,IPRM / VMR,16,2,sreda,V,3.10,['Janoš Vidali'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,IPRM / VMR,16,2,sreda,V,3.05,['Janoš Vidali'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,FM2,17,2,sreda,V,3.06,['Matija Vidmar'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Teorija mere,8,2,četrtek,P,3.04,['Marko Kandić'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Teorija grup in polgrup,10,2,četrtek,P,3.07,['Tomaž Košir'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Teorija programskih jezikov,10,2,četrtek,S,2.03,['Riste Škrekovski'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Delovna praksa 1,12,1,četrtek,P,3.07,['Barbara Drinovec Drnovšek'],2
Zimski semester 2017/18,Finančna matematika,magistrski študij,Algebraična topologija 2,12,3,četrtek,P,F3,['Jaka Smrekar'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Teorija mere,15,2,četrtek,V,2.04,['Matija Vidmar'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Teorija grup in polgrup,8,2,petek,V,2.04,['Klemen Šivic'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,IPNM / NAI,8,2,petek,V,3.11,['Bor Plestenjak'],4
Zimski semester 2017/18,Finančna matematika,magistrski študij,Kompleksna analiza,10,3,petek,P,P.02,['Marjetka Knez'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Analiza na mnogoterostih,13,2,petek,V,3.07,['Brett Simon Chenoweth'],3
Zimski semester 2017/18,Finančna matematika,magistrski študij,Bayesova statistika,14,2,petek,V,P.05,['Aljaž Zalar'],4
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,1. letnik,Linearna algebra,8,2,ponedeljek,P,P.02,['Jakob Cimprič'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,1. letnik,Linearna algebra,11,2,ponedeljek,V,P.05,['Karin Cvetko-Vah'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,1. letnik,Kolokviji 1 (IŠRM),14,2,ponedeljek,P,2.01,[],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,1. letnik,Analiza 1,9,3,torek,P,2.03,['Bojan Magajna'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,1. letnik,Diskretne strukture 1,12,3,torek,V,2.04,['Janez Šter'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,1. letnik,Diskretne strukture 1,8,3,petek,P,3.04,['Riste Škrekovski'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,1. letnik,Analiza 1,11,3,petek,V,3.04,['David Dolžan'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,2. letnik,Analiza 3,9,2,ponedeljek,V,F5,['Leon Lampret'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,2. letnik,Kombinatorika,11,3,ponedeljek,V,2.04,['Arjana Žitnik'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,2. letnik,Kombinatorika,12,3,torek,P,3.04,['Matjaž Konvalinka'],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,2. letnik,Analiza 3,15,2,torek,P,3.04,[],1
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,3. letnik,Teorija iger,14,3,torek,P,P.02,['Sergio Cabello'],3
Zimski semester 2017/18,Interdisciplinarni študij računalništva in matematike,3. letnik,Splošna topologija,8,2,sreda,P,2.02,['Sašo Strle'],3
